economy_code,economy,year,value,source
06_HKC,"Hong Kong, China",1999,31.4161171620656,WDI
06_HKC,"Hong Kong, China",2000,31.9780511659929,WDI
06_HKC,"Hong Kong, China",2001,31.6255941521679,WDI
06_HKC,"Hong Kong, China",2002,31.0734031351075,WDI
06_HKC,"Hong Kong, China",2003,33.165804594575,WDI
06_HKC,"Hong Kong, China",2004,32.3057899681093,WDI
06_HKC,"Hong Kong, China",2005,32.9408898770809,WDI
06_HKC,"Hong Kong, China",2006,34.9776120007146,WDI
06_HKC,"Hong Kong, China",2007,34.4167444929359,WDI
06_HKC,"Hong Kong, China",2008,36.0229572153312,WDI
06_HKC,"Hong Kong, China",2009,31.7309332729078,WDI
06_HKC,"Hong Kong, China",2010,30.891865807468,WDI
06_HKC,"Hong Kong, China",2011,29.7011051351653,WDI
06_HKC,"Hong Kong, China",2012,26.7984114975549,WDI
06_HKC,"Hong Kong, China",2013,25.5491717088387,WDI
06_HKC,"Hong Kong, China",2014,25.2142312299062,WDI
06_HKC,"Hong Kong, China",2015,24.8585789100752,WDI
06_HKC,"Hong Kong, China",2016,25.4616417796271,WDI
06_HKC,"Hong Kong, China",2017,26.6501787796092,WDI
06_HKC,"Hong Kong, China",2018,25.7310777729923,WDI
06_HKC,"Hong Kong, China",2019,24.0416524248707,WDI
06_HKC,"Hong Kong, China",2020,25.971076793207,WDI
06_HKC,"Hong Kong, China",2021,28.6115730628268,WDI
06_HKC,"Hong Kong, China",2022,25.4135629636503,WDI
06_HKC,"Hong Kong, China",2023,24.5682777286107,WDI
06_HKC,"Hong Kong, China",2024,29.1997395110885,WDI
06_HKC,"Hong Kong, China",2025,28.999739511088496,WDI seeded and projected to 2025
07_INA,Indonesia,1990,22.4536417723066,WDI
07_INA,Indonesia,1991,22.0730005134311,WDI
07_INA,Indonesia,1992,23.3004216565436,WDI
07_INA,Indonesia,1993,28.9981474546343,WDI
07_INA,Indonesia,1994,29.8716953233965,WDI
07_INA,Indonesia,1995,28.1384618646814,WDI
07_INA,Indonesia,1996,27.8080799259437,WDI
07_INA,Indonesia,1997,29.0309412324569,WDI
07_INA,Indonesia,1998,22.4224923294215,WDI
07_INA,Indonesia,1999,13.2018044083338,WDI
07_INA,Indonesia,2000,26.2868992080315,WDI
07_INA,Indonesia,2001,27.1997939280408,WDI
07_INA,Indonesia,2002,23.0174077823404,WDI
07_INA,Indonesia,2003,20.6840503559517,WDI
07_INA,Indonesia,2004,20.7642899473513,WDI
07_INA,Indonesia,2005,24.3384866318462,WDI
07_INA,Indonesia,2006,25.7771435873662,WDI
07_INA,Indonesia,2007,25.1791234447947,WDI
07_INA,Indonesia,2008,28.45241261442,WDI
07_INA,Indonesia,2009,29.0563767984661,WDI
07_INA,Indonesia,2010,32.7274229888351,WDI
07_INA,Indonesia,2011,33.2200730493007,WDI
07_INA,Indonesia,2012,31.9853697689232,WDI
07_INA,Indonesia,2013,31.1217666400168,WDI
07_INA,Indonesia,2014,30.6689094593309,WDI
07_INA,Indonesia,2015,30.1233564897489,WDI
07_INA,Indonesia,2016,29.9227683259243,WDI
07_INA,Indonesia,2017,30.8783634343379,WDI
07_INA,Indonesia,2018,31.6805227940956,WDI
07_INA,Indonesia,2019,30.9027135119119,WDI
07_INA,Indonesia,2020,29.2246087288697,WDI
07_INA,Indonesia,2021,32.9372955843682,WDI
07_INA,Indonesia,2022,37.0041185901717,WDI
07_INA,Indonesia,2023,35.8619339722029,WDI
07_INA,Indonesia,2024,34.6828714970206,WDI
07_INA,Indonesia,2025,35.043148493834,WDI
08_JPN,Japan,1996,34.9028066172581,WDI
08_JPN,Japan,1997,34.711887285779,WDI
08_JPN,Japan,1998,33.437724649378,WDI
08_JPN,Japan,1999,31.674563296157,WDI
08_JPN,Japan,2000,32.226897643242,WDI
08_JPN,Japan,2001,30.9468310340449,WDI
08_JPN,Japan,2002,29.7659095325359,WDI
08_JPN,Japan,2003,29.8104602122409,WDI
08_JPN,Japan,2004,30.3046804780382,WDI
08_JPN,Japan,2005,30.435900399459,WDI
08_JPN,Japan,2006,30.7861914859199,WDI
08_JPN,Japan,2007,31.3337221106681,WDI
08_JPN,Japan,2008,29.7016885393561,WDI
08_JPN,Japan,2009,26.3633389932188,WDI
08_JPN,Japan,2010,27.3250376618032,WDI
08_JPN,Japan,2011,26.4765417956248,WDI
08_JPN,Japan,2012,25.8689648374274,WDI
08_JPN,Japan,2013,26.1985175657253,WDI
08_JPN,Japan,2014,27.0705807856305,WDI
08_JPN,Japan,2015,29.5062296371995,WDI
08_JPN,Japan,2016,30.0504260277434,WDI
08_JPN,Japan,2017,30.6225132962492,WDI
08_JPN,Japan,2018,30.5434682630387,WDI
08_JPN,Japan,2019,30.6240011045675,WDI
08_JPN,Japan,2020,29.732609381488,WDI
08_JPN,Japan,2021,31.013077665037,WDI
08_JPN,Japan,2022,30.2224047860993,WDI
08_JPN,Japan,2023,31.3839931639213,WDI
08_JPN,Japan,2024,32.0592419328935,WDI
08_JPN,Japan,2025,31.8592419328935,WDI seeded and projected to 2025
09_ROK,Korea,1990,39.5635527605284,WDI
09_ROK,Korea,1991,39.5133002441543,WDI
09_ROK,Korea,1992,38.5936448396194,WDI
09_ROK,Korea,1993,38.5750825592434,WDI
09_ROK,Korea,1994,38.1292006889204,WDI
09_ROK,Korea,1995,37.8646842551745,WDI
09_ROK,Korea,1996,36.0579363575205,WDI
09_ROK,Korea,1997,35.9818858635509,WDI
09_ROK,Korea,1998,37.881733500966,WDI
09_ROK,Korea,1999,35.6258526449506,WDI
09_ROK,Korea,2000,34.1523016364387,WDI
09_ROK,Korea,2001,32.3069789406776,WDI
09_ROK,Korea,2002,31.7224565569361,WDI
09_ROK,Korea,2003,33.0859200866618,WDI
09_ROK,Korea,2004,35.5253578218517,WDI
09_ROK,Korea,2005,33.8405960110945,WDI
09_ROK,Korea,2006,32.8912214742854,WDI
09_ROK,Korea,2007,33.4309889399337,WDI
09_ROK,Korea,2008,33.2480829152876,WDI
09_ROK,Korea,2009,33.13093501319,WDI
09_ROK,Korea,2010,34.9926210564103,WDI
09_ROK,Korea,2011,34.3761288710455,WDI
09_ROK,Korea,2012,34.336867195596,WDI
09_ROK,Korea,2013,34.5161248108137,WDI
09_ROK,Korea,2014,34.5717402109559,WDI
09_ROK,Korea,2015,35.8343334005639,WDI
09_ROK,Korea,2016,36.2906518682135,WDI
09_ROK,Korea,2017,36.4505350479154,WDI
09_ROK,Korea,2018,35.3783014506542,WDI
09_ROK,Korea,2019,34.2941170155552,WDI
09_ROK,Korea,2020,35.7761638265864,WDI
09_ROK,Korea,2021,36.6043931161577,WDI
09_ROK,Korea,2022,34.3078343934928,WDI
09_ROK,Korea,2023,33.3597970548711,WDI
09_ROK,Korea,2024,35.0305415292226,WDI
09_ROK,Korea,2025,35.5988152959013,WDI
10_MAS,Malaysia,1990,30.3826806963327,WDI
10_MAS,Malaysia,1991,29.2782620146207,WDI
10_MAS,Malaysia,1992,31.6964750314478,WDI
10_MAS,Malaysia,1993,34.7131723521145,WDI
10_MAS,Malaysia,1994,35.0914161292647,WDI
10_MAS,Malaysia,1995,33.8932551687612,WDI
10_MAS,Malaysia,1996,37.0407234800784,WDI
10_MAS,Malaysia,1997,37.0205449212701,WDI
10_MAS,Malaysia,1998,39.8491589952669,WDI
10_MAS,Malaysia,1999,38.305980768975,WDI
10_MAS,Malaysia,2000,35.9173795808654,WDI
10_MAS,Malaysia,2001,32.2517790339186,WDI
10_MAS,Malaysia,2002,32.7350846657081,WDI
10_MAS,Malaysia,2003,34.8526514617844,WDI
10_MAS,Malaysia,2004,35.1374966248144,WDI
10_MAS,Malaysia,2005,36.8157549507862,WDI
10_MAS,Malaysia,2006,38.7964745148433,WDI
10_MAS,Malaysia,2007,38.7668425775513,WDI
10_MAS,Malaysia,2008,38.5177080119428,WDI
10_MAS,Malaysia,2009,33.3634416267683,WDI
10_MAS,Malaysia,2010,33.4664682988521,WDI
10_MAS,Malaysia,2011,34.0818029856008,WDI
10_MAS,Malaysia,2012,30.9153494882722,WDI
