economy_code,economy,year,population_1jan,Real GDP PPP 2021 USD,output_to_kstock,delta,Gross national savings,9th Outlook
16_RUS,Russia,1995,148382.441,2724730.44502044,0.0701519737086412,0.0332501046359539,28.0227088726174,2730378.220509244
16_RUS,Russia,1996,148200.365,2622414.9248018,0.0687965377998035,0.0322027616202831,27.1159226042149,2631867.3924599523
16_RUS,Russia,1997,147968.8,2659126.52581455,0.0709285944572957,0.0312559753656387,21.9453568046979,2668241.1380036585
16_RUS,Russia,1998,147738.741,2518193.840343,0.06837000771447,0.0304080545902252,19.3235081435628,2525612.15418331
16_RUS,Russia,1999,147532.321,2679356.09789008,0.0739406888761369,0.0296720433980227,28.2459905455541,2686026.5137134963
16_RUS,Russia,2000,146951.628,2947293.49785473,0.0823863646173149,0.0291832536458969,36.1542075558736,2955853.310175966
16_RUS,Russia,2001,146483.937,3097606.9760178,0.0873841720000566,0.0289047732949257,32.5129186409687,3106321.678385928
16_RUS,Russia,2002,145750.631,3243194.2532676803,0.0922816905433454,0.0286878254264593,28.774776224551,3253694.7478897325
16_RUS,Russia,2003,146128.369,3479945.88822114,0.0994443664495068,0.0285727214068174,28.2662385584185,3492806.2154082027
16_RUS,Russia,2004,145460.09,3730500.17806156,0.1066691251097661,0.0286166332662106,30.2604397434939,3743441.67138909
16_RUS,Russia,2005,144900.103,3969250.90049488,0.1132630402063137,0.0289138182997704,30.5465768219055,3982121.955239788
16_RUS,Russia,2006,144295.666,4294732.18353033,0.1217020032787696,0.0295502599328756,30.6608764968892,4306810.123209482
16_RUS,Russia,2007,143910.23,4659783.46437558,0.1304685332418185,0.0305112656205893,31.2668546897582,4674401.0263898
16_RUS,Russia,2008,143809.297,4902090.77229438,0.1352772208322725,0.0316856354475021,30.063881910679,4919695.3318192
16_RUS,Russia,2009,143814.384,4519727.99045976,0.1238033133834338,0.0324012823402882,20.8762043653616,4534933.353824232
16_RUS,Russia,2010,143923.88,4723115.749994599,0.1282515700212891,0.032837301492691,26.283714313898,4739164.137166641
16_RUS,Russia,2011,143945.051,4926211.105734929,0.1319343662410894,0.0334972739219666,28.7575643096851,4979257.434342114
16_RUS,Russia,2012,144142.446,5124446.08491426,0.1356239758320971,0.034234631806612,27.2441713507904,5179625.058495242
16_RUS,Russia,2013,144439.612,5214401.74651076,0.1364268460530274,0.034890815615654,24.2820958381877,5270548.390126906
16_RUS,Russia,2014,144768.583,5252793.67736262,0.1361588974925551,0.0352417565882206,24.5121808211262,5309353.312799044
